year,month,link,name
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22103,"NYC PARKS CELEBRATES ONE CAPITAL PROJECT COMPLETED AT FAIRVIEW PARK, AND ONE CAPITAL PROJECT BEGINNING IN BLOOD ROOT VALLEY"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22102,NYC PARKS RETIRES SIX DEDICATED PARKIES AT THE “HOME FOR RETIRED PLAYGROUND ANIMALS” IN FLUSHING MEADOWS CORONA PARK
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22101,NYC PARKS LIFEGUARDS COMPETE FOR BEACH GLORY AT THE 2023 LIFEGUARD GAMES
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22100,NYC PARKS CELEBRATES THE REOPENING OF NOBLE PLAYGROUND IN THE BRONX AFTER $2.5 MILLION RECONSTRUCTION
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22111,NYC PARKS REOPENS JAMAICA PLAYGROUND TO THE COMMUNTY AFTER $4.6 MILLION UPGRADE
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22109,"NYC PARKS UNVEILS NEW $4.2 MILLION WATERFRONT RECREATION SPACE AT SUNSET COVE IN BROAD CHANNEL, QUEENS"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22110,NYC PARKS DISPLAYS THE HISTORIC JAMES JACKSON TOMBSTONE IN WASHINGTON SQUARE PARK
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22108,NYC PARKS & NYC DCAS CELEBRATE CLIMATE WEEK WITH THE ADDITION OF 86 ALL-ELECTRIC PICKUP TRUCKS TO PARKS’ FLEET
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22107,NYC PARKS CELEBRATES UPGRADES TO CORPORAL THOMPSON PARK ON STATEN ISLAND
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22105,NYC PARKS UNVEILS BRAND NEW DOG RUN IN SHORE ROAD PARK IN BAY RIDGE
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22106,NYC PARKS & CITY PLANNING ANNOUNCE FULL TRANSFORMATION OF ST. ANDREW'S PLAYGROUND IN BED-STUY AS CITY INVESTS IN CENTRAL BROOKLYN REDESIGN
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22104,NYC PARKS AND LES DEUX CUT THE RIBBON ON THE NEWLY RENOVATED WASHINGTON MARKET PARK BASKETBALL COURTS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22119,NYC PARKS CUTS THE RIBBON ON THE NEWLY RENOVATED NAUTILUS PLAYGROUND IN SOUTHEAST QUEENS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22118,"NEW COMMUNITY GARDEN BLOOMS IN RIDGEWOOD, JOINING NYC PARKS' GREENTHUMB NETWORK"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22117,NYC PARKS CUTS THE RIBBON ON NEW SKATE PARK AT JEROME PLAYGROUND SOUTH
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22116,"MAYOR ADAMS, NYC PARKS COMMISSIONER DONOGHUE OPEN FIRST PUBLIC SPACE IN FRESHKILLS PARK, FORMERLY WORLD’S LARGEST LANDFILL"
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22115,NYC PARKS & SPORTIME UNVEIL UPGRADES AT POOR RICHARD’S PLAYGROUND
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22114,NYC PARKS BREAKS GROUND ON NEW BASKETBALL COURT IN SHOELACE PARK
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22112,NYC PARKS JOINS BROOKLYN NETS AND NEW YORK LIBERTY TO CELEBRATE BASKETBALL COURT IMPROVEMENTS IN THREE BROOKLYN NEIGHBORHOODS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22113,2022 AMERICAN NOBEL LAUREATES HONORED ON NYC PARKS MONUMENT
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22124,NYC PARKS & NYCEDC BREAK GROUND ON LOWER CONCOURSE PARK IN THE BRONX
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22128,LIFEGUARD RECRUITMENT NOW UNDERWAY FOR SUMMER 2024 BEACH AND OUTDOOR POOL SEASON
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22123,NYC PARKS CELEBRATES $4.1M RECONSTRUCTION OF LION’S PRIDE PLAYGROUND AND UPCOMING $4.9M TRANSFORMATION OF SANKOFA PARK
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22122,TREES NOT TRAFFIC: NYC PARKS TRANSFORMS BROOKLYN STREET INTO VIBRANT GREENSPACE AS PART OF MAJOR PARK REDESIGN
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22121,NYC PARKS LAUNCHES FIRST-EVER PUBLIC PROGRAMMING AT HART ISLAND
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22120,NYC PARKS CELEBRATES EXTENSIVE UPGRADES AT MCGOLRICK PARK IN BROOKLYN
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22127,NYC PARKS CUTS THE RIBBON ON THE REVAMPED HISTORIC VANDERBILT MOTOR PARKWAY IN EASTERN QUEENS
2023,12,https://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=22125,NYC PARKS & ALLEY POND ENVIRONMENTAL CENTER HOLDS RIBBON-CUTTING EVENT TO LAUNCH NEW FACILITY ON WILDLIFE CONSERVATION DAY
